Name,Description,Location,Website,OrgType,PopFocus,,,,,,,,,,,,,,,,,,,,
nAGLY,"Part of the AGLY Network, holds meetings for young people ages 14-23. Website and Facebook have updates on activities and events.","Salem, MA",nagly.org facebook.com/northshoreglbtyouth,Youth and Young Adult Community Resources,Youth,,,,,,,,,,,,,,,,,,,,
NB-AGLY/A Perfect Place,"Part of the AGLY Network, holds meetings and drop-in space for young people ages 14-24. Website and Facebook have updates on activities and events.","New Bedford, MA",aperfectplace.org facebook.com/groups/nbagly,Youth and Young Adult Community Resources,Youth,,,,,,,,,,,,,,,,,,,,
Out MetroWest,"Part of the AGLY Network, holds meetings and drop-in space with specific meetings for trans youth and for middle school age youth. Website and Facebook have updates on activities and events.","Wellesley Hills, Framingham, Newton, MA",outmetrowest.org facebook.com/outmetrowest,Youth and Young Adult Community Resources,Youth,,,,,,,,,,,,,,,,,,,,
Out Now,"Part of the AGLY Network, holds meetings and drop-in spaces available throughout the week for young people ages 22 and younger. Website and Facebook have updates on activities and events.","Springfield, MA",outnowyouth.org facebook.com/outnowspringfieldma,Youth and Young Adult Community Resources,Youth,,,,,,,,,,,,,,,,,,,,
Quincy Family Resource Center,Hosts a concurring LGBTQ Teen Social Group and Caregivers of LGBTQ Teens Support Group.,"Quincy, MA",frcma.org/locations/quincy-family-resource-center facebook.com/Quincy-Family-Resource-Center,Youth and Young Adult Community Resources,Youth,,,,,,,,,,,,,,,,,,,,
Safe Homes,"Part of the AGLY Network, holds meetings and drop-in space, on-site crisis intervention and one-on-one counseling for young people ages 14-23. Website and Facebook have updates on activities and events.","Worcester, MA",safehomesma.org facebook.com/Safe-Homes-70550518473,Youth and Young Adult Community Resources,Youth,,,,,,,,,,,,,,,,,,,,
SAYFTEE,"SAYFTEE organizes therapeutic groups for kids, parents who are LGBTQ, have an Autism Spectrum Disorder, intersex and consultation for providers.","Boston, MA",sayftee.com,Youth and Young Adult Community Resources,Youth,,,,,,,,,,,,,,,,,,,,
Silver Lining Mentoring,A mentoring program that works with youth in the child welfare system. Specifically has a program to match LGBTQ mentors with LGBTQ mentees.,"Boston, MA",silverliningmentoring.org,Youth and Young Adult Community Resources,Youth,,,,,,,,,,,,,,,,,,,,
SWAGLY,"Part of the AGLY Network, holds meetings and drop-in space. Website has updates on activities and events.","Worcester, MA",aidsprojectworcester.org,Youth and Young Adult Community Resources,Youth,,,,,,,,,,,,,,,,,,,,
The Venture Out Project,"Backpacking & wilderness trips for the queer, trans, & LGBTQ+ community - including youth/family trips and adult trips",Western MA,ventureoutproject.com,Youth and Young Adult Community Resources,Youth,,,,,,,,,,,,,,,,,,,,
Thrive at CIGSYA,"Part of the AGLY Network, holds meetings and drop-in space for young people ages 22 and younger. Website and Facebook have updates on activities and events.","Hyannis, MA",cigsya.org facebook.com/cigsya,Youth and Young Adult Community Resources,Youth,,,,,,,,,,,,,,,,,,,,
Trans Youth Equality Foundation,"Education, advocacy and support, including a summer camp program","Portland, ME",transyouthequality.org,Youth and Young Adult Community Resources,Youth,,,,,,,,,,,,,,,,,,,,
Trevor Space,"A free, monitored social and peer networking site for LGBT youth ages 13-24.",Online resource,trevorspace.org,Youth and Young Adult Community Resources,Youth,,,,,,,,,,,,,,,,,,,,
True Colors: Out Youth Theater at the Theater Offensive,Year-round theater programming for LGBTQ youth and allies ages 14-22.,"565 Boylston St. Boston, MA 617.661.1600",thetheateroffensive.org,Youth and Young Adult Community Resources,Youth,,,,,,,,,,,,,,,,,,,,
Y2Y Harvard Square,A student-run overnight shelter for young people ages 18-24 in Harvard Square.,"Cambridge, MA",y2yharvardsquare.org,Youth and Young Adult Community Resources,Youth,,,,,,,,,,,,,,,,,,,,
Youth on Fire,"A drop-in center for homeless and street-involved youth ages 14-24. For up-to-date hours, check website.","Harvard Square, Cambridge, MA",aac.org/about/our-work/youth-on-fire.html facebook.com/youthonfirema,Youth and Young Adult Community Resources,Youth,,,,,,,,,,,,,,,,,,,,
YQSA - Youth Queer Straight Alliance,Drop-in meetings for LGBTQ youth and allies ages 12-18 with a corresponding parents group that meets twice a month.,"Middleboro, MA",yqsa.org,Youth and Young Adult Community Resources,Youth,,,,,,,,,,,,,,,,,,,,
Beyond the Binary,A toolkit created by the Gay-Straight Alliance Network for gender identity activism in schools,Online resource,tinyurl.com/hpt3x3x,School Resources,Youth,,,,,,,,,,,,,,,,,,,,
Campus Pride,"Resources for LGBTQ students, research, and lists of LGBTQ welcoming colleges.",Online Resource,campuspride.org,School Resources,Youth,,,,,,,,,,,,,,,,,,,,
Gender Spectrum,"Education, training, and support to create gender sensitive and inclusive environments for children and teens.",Online resource,genderspectrum.org,School Resources,Youth,,,,,,,,,,,,,,,,,,,,
GLSEN,"Resources for educators and schools, including National School Climate Survey and GSA Support.",Nationwide and MA Chapter,glsen.org glsen.org/chapters/massachusetts,School Resources,Youth,,,,,,,,,,,,,,,,,,,,
"Greater Boston PFLAG: Fostering LGBTQ-Inclusive Families, Schools & Communities","LGBTQ Safer Schools programs for students, faculty and administration. Programs include presentation, speakers and Q &A. Fee can be waived for school districts unable to pay.",Statewide – many locations,http://www.gbpflag.org/trainings-and-workshops/#school,School Resources,Youth,,,,,,,,,,,,,,,,,,,,
Guidance for Mass. Public Schools: Creating a Safe and Supportive School Environment Nondiscrimination on the Basis of Gender Identity,Guidance released by the MA Department of Elementary and Secondary Education to provide safer learning environments for transgender and gender non-confoming students.,Statewide Massachusetts,doe.mass.edu/sfs/lgbtq/GenderIdentity.pdf,School Resources,Youth,,,,,,,,,,,,,,,,,,,,
Safe Schools Program for LGBTQ Students,A free resource for training and technical assistance for schools with public funding in MA - A joint initiative of the Department of Elementary and Secondary Education and the MA Commission on LGBTQ Youth,Statewide Massachusetts,doe.mass.edu/sfs/lgbtq/,School Resources,Youth,,,,,,,,,,,,,,,,,,,,
Welcoming Schools,"Online resources, bibliographies, lesson plans on creating more welcoming schools for LGBTQ youth and their families in elementary and middle school",Online resource,welcomingschools.org,School Resources,Youth,,,,,,,,,,,,,,,,,,,,
A Safe Place,"Free and confidential services for survivors of sexual and domestic violence, as well as friends and family.","Nantucket, MA 24 hour hotline: 508.288.2111",asafeplacenantucket.org,Sexual Assault and Domestic Violence,All Ages,,,,,,,,,,,,,,,,,,,,
Boston Area Rape Crisis Center (BARCC),"Free and confidential services for survivors of sexual assault survivors, friends, and family ages 12 years old or older. LGBTQI and GNC welcoming.","Boston, Cambridge, MA 24 hour hotline: 800.841.8371",barcc.org,Sexual Assault and Domestic Violence,All Ages,,,,,,,,,,,,,,,,,,,,
"DOVE (DOmestic Violence Ended), Inc.","Free and confidential services for victims and survivors, as well as education and advocacy. Has an LGBQ/T Advocacy and Outreach Coordinator.","Quincy, MA Office: 617.770.4065 24 hour hotline: 617.471.1234 or 1.888.314.DOVE (3683)",dovema.org,Sexual Assault and Domestic Violence,All Ages,,,,,,,,,,,,,,,,,,,,
GLBTQ Domestic Violence Project,"Free and confidential services for LGBTQ victims and survivors, as well as education and advocacy.","Cambridge, MA Office: 617.354.6056 24 hour domestic violence hotline: 800.832.1901 Sexual assault helpline: 617.779.2127",glbtqdvp.org,Sexual Assault and Domestic Violence,All Ages,,,,,,,,,,,,,,,,,,,,
Health Imperatives – Violence Intervention and Prevention,"Free and confidential services for survivors of sexual assault and domestic violence survivors, friends, and family. LGBTQ welcoming.","Brockton, Quincy, Plymouth, MA 24 hour hotline: 508.588.8255 or 888.293.7273",healthimperatives.org/anewday,Sexual Assault and Domestic Violence,All Ages,,,,,,,,,,,,,,,,,,,,
"Independence House, Inc.",Free and confidential services for survivors of sexual and domestic violence.,"Hyannis, Falmouth, Orleans, Provincetown, MA 24 hour hotline: 800.439.6507 TTY: 508.771.6782",indhouse.net,Sexual Assault and Domestic Violence,All Ages,,,,,,,,,,,,,,,,,,,,
"My Life, My Choice","Survivor led services for support and mentorship for survivors of sexual exploitation, prevention of sexual exploitation","989 Commonwealth Ave. Boston, MA 617.779.2179",fightingexploitation.org,Sexual Assault and Domestic Violence,All Ages,,,,,,,,,,,,,,,,,,,,
Pathways for Change,"Free and confidential services for survivors of sexual assault, friends, and family. LGBTQ welcoming.","Worcester, MA 24 hour hotline: 800.870.5905 TTY: 888.887.7130",centralmasspfc.org,Sexual Assault and Domestic Violence,All Ages,,,,,,,,,,,,,,,,,,,,
Roxbury Youthworks – GIFT and BUILD Programs,"Support for survivors of sexual exploitation, prevention of sexual exploitation ages 12-21. Programs open to LGBTQI and GNC youth.","Boston, MA 617.427.8095",roxburyyouthworks.org,Sexual Assault and Domestic Violence,All Ages,,,,,,,,,,,,,,,,,,,,
Safe Passage,Services for survivors of domestic violence,"Northampton, MA 24 hour hotline: 413.586.5066 TTY: 888.345.5282",safepass.org,Sexual Assault and Domestic Violence,All Ages,,,,,,,,,,,,,,,,,,,,
The Center for Women and Community,"Information and referral services, services for survivors of sexual violence, counseling, and teen education services.","Amherst, MA 413.545.0883 24 hour hotline: 888.337.0800 TTY: 413.577.0940",umass.edu/ewc,Sexual Assault and Domestic Violence,All Ages,,,,,,,,,,,,,,,,,,,,
The Network/La Red,Free and confidential services for survivors of LGBTQ partner abuse as well as community resources for ending partner abuse.,"Boston, MA Hotline: 617.742.4911 TTY: 617.227.4911",tnlr.org,Sexual Assault and Domestic Violence,All Ages,,,,,,,,,,,,,,,,,,,,
Wayside – Valley Rape Crisis Hotline,"Free and confidential services for survivors of sexual assault, friends, and family.","Milford, MA 24 hour hotline: 800.511.5070 TTY: 508.478.4205 (weekdays 9 am – 5 pm)",tinyurl.com/j9ojrjo,Sexual Assault and Domestic Violence,All Ages,,,,,,,,,,,,,,,,,,,,
YWCA North Shore Rape Crisis Center,Free and confidential services for survivors of sexual assault and their significant others ages 12 or older. LGBTQI and GNC welcoming.,"Lynn, MA 800.922.8772 or 781.477.2313 TTY: 781.477.2315",nsrcc.org,Sexual Assault and Domestic Violence,All Ages,,,,,,,,,,,,,,,,,,,,
Attorney General Maura Healey,You can file a complaint of discrimination with the Office of the Attorney General.,Statewide Massachsuetts,mass.gov/ago,Legal Assistance,All Ages,,,,,,,,,,,,,,,,,,,,
GLBTQ Legal Advocates and Defenders (GLAD),Legal assistance and information – a resource for LGBTQ people who have questions about their rights,"New England – based in Boston, MA Legal infoline 800.455.GLAD (4523)",glad.org gladanswers.org,Legal Assistance,All Ages,,,,,,,,,,,,,,,,,,,,
Lambda Legal,"Legal advocacy and education for LGBTQ people, including Bending the Mold: An Action Kit for Transgender Students",Online resource,lambdalegal.org,Legal Assistance,All Ages,,,,,,,,,,,,,,,,,,,,
LGBTQ Asylum Task Force,a ministry of Hadwen Park Church and a community-based organization dedicated to supporting and empowering LGBTQI individuals who are seeking asylum in the United States.,"6 Clover St. Worcester, MA 508-853-8853",lgbtasylum.org,Legal Assistance,All Ages,,,,,,,,,,,,,,,,,,,,
Massachusetts Commission Against Discrimination (MCAD),Information about how to file a complaint of discrimination.,Statewide,mass.gov/mcad,Legal Assistance,All Ages,,,,,,,,,,,,,,,,,,,,
Black & Pink Court Support,"Black and Pink Boston-area staff/volunteers provide the following to LGBTQ and HIV+ individuals who are court involved. You can request court support for yourself, your client, or your loved one by emailing courtsupportboston@blackandpink.org or calling/texting 617.519.4387.",Boston Area,http://www.blackandpink.org/bostoncourtsupportandvisits/,Legal Assistance,All Ages,,,,,,,,,,,,,,,,,,,,
Big Sister Association of Greater Boston,A mentoring organization that works with girls and has done significant work to support LBTQ people who identify as girls.,"Boston, MA",bigsister.org,Resources for Families and Support Systems,Families,,,,,,,,,,,,,,,,,,,,
Family Acceptance Project,Research on family acceptance and health with pamphlets to support families.,Online resource,familyproject.sfsu.edu,Resources for Families and Support Systems,Families,,,,,,,,,,,,,,,,,,,,
GenderJabber,An online resource for people who interact with young children and think inclusively about gender.,Online resource,genderjabber.org,Resources for Families and Support Systems,Families,,,,,,,,,,,,,,,,,,,,
gendermom,Blog and podcast chronicling daily life of a mom and her trans daughter,Online resource,gendermom.com,Resources for Families and Support Systems,Families,,,,,,,,,,,,,,,,,,,,
Greater Boston PFLAG,"Support for parents, friends, and family of LGBTQ and GNC people in groups or one-on-one across the state. Up-to-date support group details available on website.",Statewide – many locations,gbpflag.org,Resources for Families and Support Systems,Families,,,,,,,,,,,,,,,,,,,,
PFLAG Cape Cod,"Support for parents, friends, and family of LGBTQ and GNC people in groups or one-on-one on Cape Cod. Up-to-date support group details available on website.","Cape Cod, MA",pflagcapecod.org,Resources for Families and Support Systems,Families,,,,,,,,,,,,,,,,,,,,
Quincy Family Resource Center,Hosts a concurring LGBTQ Teen Social Group and Caregivers of LGBTQ Teens Support Group.,"Quincy, MA",frcma.org/locations/quincy-family-resource-center facebook.com/Quincy-Family-Resource-Center,Resources for Families and Support Systems,Families,,,,,,,,,,,,,,,,,,,,
Silver Lining Mentoring,A mentoring program that works with youth in the child welfare system. Specifically has a program to match LGBTQ mentors with LGBTQ mentees.,"Boston, MA",silverliningmentoring.org,Resources for Families and Support Systems,Families,,,,,,,,,,,,,,,,,,,,
The Venture Out Project,"Backpacking & wilderness trips for the queer, trans, & LGBTQ+ community - including youth/family trips and adult trips",Western MA,ventureoutproject.com,Resources for Families and Support Systems,Families,,,,,,,,,,,,,,,,,,,,
Asexuality Visibility and Education Network (AVEN),"Information on asexual, aromantic, and agender identities and connection to online asexual community.",Online resource,asexuality.org,Online Guides and Resources,,,,,,,,,,,,,,,,,,,,,
Assessing Referrals,"A quick guide on three questions you can ask when looking for a referral that is culturally competent - from MaeBright Group, LLC.",Online resource,maebrightgroupllc.box.com/v/assessingresources,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
Bending the Mold: An Action kit for Transgender Students,"An action kit released by Lambda Legal that includes ideas, information, and resources",Online resource,lambdalegal.org/publications/bending-the-mold,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
Beyond the Binary,A toolkit created by the Gay-Straight Alliance Network for gender identity activism in schools,Online resource,tinyurl.com/hpt3x3x,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
BiNet USA,A non-profit advocating for bisexual communities in the US,Nationwide,binetusa.org,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
Bisexual Organizing Project,"A non-orofit that is committed to building the bisexual, pansexual, fluid, queer, and unlabeled (bi+) community through regular events.",Online and focused in Minnesota and Upper Midwest,bisexualorganizingproject.org,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
Bisexual Resource Center,"Online resource center with information about bisexuality, bisexual meetup groups, and easily printable info sheets","Online resource and based in Boston, MA",biresource.org,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
Boston Sober Queer Space,"A facebook group safe(r) space for LGBTQIA&+/queer-identified humans in the Boston area who are sober, interested in getting clean/sober, or interested in attending sober events!",Online resource (Boston specific),facebook.com/groups/soberqueerspace/,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
"Breaking the Silence: Lesbian, Gay, Bisexual, Transgender and Queer Foster Youth Tell Their Stories","DVD Tool offered by NCLR with personal stories told by LGBTQ youth in foster care, many of whom were in the juvenile justice system. Available for free.",Online resource,tinyurl.com/zwpqaf5,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
Campus Pride,"Resources for LGBTQ students, research, and lists of LGBTQ welcoming colleges.",Online resource,campuspride.org,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
Creating a Safe Folder,Information about what to collect to protect your family and educate others. Guide compiled by TransYouth Family Allies,Online resource,imatyfa.org/resources/parents/creating-a-safe-folder/,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
dys4ia,An online game experience that demonstrates the point of view of a trans woman during hormone replacement therapy. Costs $5 to download,Online resource,w.itch.io/dys4ia,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
Family Acceptance Project,Research on family acceptance and health with pamphlets to support families.,Online resource,familyproject.sfsu.edu,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
GenderJabber,An online resource for people who interact with young children and think inclusively about gender.,Online resource,genderjabber.org,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
gendermom,Blog and podcast chronicling daily life of a mom and her trans daughter,Online resource,gendermom.com,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
Gender Spectrum,"Education, training, and support to create gender sensitive and inclusive environments for children and teens.",Online resource,genderspectrum.org,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
Guide to Being an Ally,Guide from PFLAG for people not in the LGBTQ community on how to best support LGBTQ people.,Online resource,tinyurl.com/jjolk9t,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
Hospital Guidance for Trans Clients,Guidance for hospitals for creating trans affirming policies by Lambda Legal,Online resource,lambdalegal.org/publications/fs_transgender-affirming-hospital-policies,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
I AM: Trans People Speak,Videos organized by the Massachusetts Transgender Political Coalition to share the stories and lives of trans people.,Online resource,transpeoplespeak.org,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
Intersex Society of North America,"Online resource with information about intersex conditions. While this is a defunct organization, their website remains as a useful reference and education tool.",Online resource,isna.org,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
"Julie Graham, MFT",Gender therapist in San Francisco with helpful resources on the overlap of gender and autism spectrum disorders,Online resource,transtherapy.wordpress.com,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
LGBT Youth in the Juvenile Justice System: A Guide to Juvenile Detention Reform,"Online guide created by JDAI and NCLR with background on LGBTQ identities, experiences, and reform.",Online resource,tinyurl.com/qd2fclg,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
Massachusetts Transgender Political Coalition Trans Resource Wiki,Online resource wiki with resources for the transgender community in New England a and Massachusetts,Online resource,masstpc.org/mediawiki,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
Movement Advancement Project,"An independent think tank that provides rigorous research, insight and analysis that help speeed equality for LGBT people",Online resource,lgbtmap.org,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
National Center for Transgender Equality,A social justice advocacy organization that is focused on winning life-saving changes for transgender people,Nationwide,transequality.org,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
National Institute of Corrections Resources on LGBTQI Juveniles,Landing page for resources hosted/created by NIC focused on LGBTQ youth in the justice system.,Online resource,nicic.gov/lgbtijuveniles,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
OJJDP – LGBTQ Youths in the Juvenile Justice System,Literature review prepared by OJJDP describing research on LGBTQ youth and risk factors in juvenile justice.,Online resource,tinyurl.com/hqertlt,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
"Our Trans Loved Ones: Questions and Answers for Parents, Families, and Friends of People who are Transgender and Gender Expansive","Guide from PFLAG on trans identities, how to offer support, and FAQs",Online resource,tinyurl.com/h95pyf5,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
Peeing in Peace: A Resource Guide for Transgender Activists and Allies,A resource guide from the Transgender Law Center on accessing bathrooms,Online resource,transgenderlawcenter.org/issues/public-accomodations/peeing-in-peace,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
Practice with Pronouns,"A site that helps you practice gender neutral pronouns such as they, ze, xie and more.",Online resource,practicewithpronouns.com,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
PREA Resource Center,"“The PRC serves as a central repository for the best research in the field on trends, prevention, and response strategies, and best practices in corrections.”",Online resource,prearesourcecenter.org,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
Prison Rape Elimination Act Juvenile Facility Standards,"Released in 2012, these standards specifically mention LGBTQI and gender non-conforming actual or perceived identities an indicator for higher risk of sexual abuse. This document is hosted by the PREA Resource Center",Online resource,tinyurl.com/z96qg3l,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
Queer Exchange Boston,"A facebook group exchange for job openings, things for sale or trade or free, stuff like that. Kind of a craigslist for the queers you know and who they know and who they know. Just a way to connect the dots between what's needed and what's offered out there in the community, vast or small.",Online resource (Boston specific),facebook.com/groups/1378616042364892,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
Queer Exchange: Western Mass,"A facebook group exchange for job openings, rooms available, things for sale or trade or free, stuff like that. Kind of a craigslist for the queers you know and who they know and who they know. Just a way to connect the dots between what's needed and what's offered out there in the community, vast or small.",Online resource (Western MA specific),facebook.com/groups/387288751376739,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
Queer Hispanic/Latinx/e/@ Exchange: Boston,"A facebook group exchange for job openings, rooms available, things for sale or trade or free, stuff like that. Kind of a craigslist for the Latin@/e/x queers you know and who they know and who they know. Just a way to connect the dots between what's needed and what's offered out there in the community, vast or small. 
Un sitiio para compartir trabajo, departamentos con cuartos para rentar, cosas para vender o para intercambiar, cosas como esos. Como Craigslist para los queers que son Latin@/e/x y los que ellos conocen y los que ellos conocen. Una forma para connectar los puntos entre lo que es necesitado y que hay en la communidad por venta, grande o chico.",Online resource (Boston specific),facebook.com/groups/1044556302254038/,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
Queer Housing Boston,A facebook group for queer people in Boston to post housing availability or searches.,Online resource (Boston specific),facebook.com/groups/770251119807942/,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
Queer POC Exchange: BOSTON,"A facebook group for Queer and Trans People of Color to share job opportunities, housing opportunities, items for sale or to give away, services for cash or barter and other useful resources for other QTPOC within the Boston-area. It serves as a (*intentionally*) safe alternative to the Queer Exchange Boston.",Online resource (Boston specific),facebook.com/groups/QExchangeBoston/,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
Refuge Restrooms,Smartphone appand website to locate gender neutral public restrooms,Online resource,refugerestrooms.org,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
Scarleteen,"Online resource with inclusive, comprehensive sexuality information and help for young people",Online resource,scarleteen.com,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
Sharing Pronouns,"A quick guide on ways to share pronouns that is supportive to all people along with frequently asked questions about the importance of sharing pronouns - from MaeBright Group, LLC.",Online resource,maebrightgroupllc.box.com/v/sharingpronouns,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
Supporting and Caring for Bisexual Youth,"A guide from HRC, BiNet USA, Bisexual Organizing Project, and the Bisexual Resource Center",Online resource,hrc.org/bi-youth,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
Susan's Place,Online resource guide on transgender resources,Online resource,susans.org,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
T-VOX,"Advice, information, support for family, friends, partners, and trans folks",Online resource,t-vox.org,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
The Equity Project,Advoacy group that tracks efforts to support LGBTQ youth in the justice system,Online resource,equityprojects.org,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
The List: Boston's Queer Agenda,"A free weekly email calendar of events, a monthly email for Housing wanted or to offer, and a monthly Classifieds with jobs, groups and more for in and around the Boston region. The List encourages networking and centralizes information about upcoming events, volunteer and job opportunities, apartment postings and community announcements.",Online resource (Boston specific),queeragenda.org,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
